task_id,seed,memory_type,score_delta,f1_effect,n_runs
51,41,beneficial,0.0,0.2286,1
51,41,conflicting,0.0,-0.2286,1
51,41,irrelevant,-1.0,-0.1714,1
51,41,role_mismatched,0.0,0.0,1
51,42,beneficial,0.0,0.2286,1
51,42,conflicting,-1.0,-0.1714,1
51,42,irrelevant,0.0,0.0,1
51,42,role_mismatched,1.0,0.1714,1
51,43,beneficial,0.0,0.2286,1
51,43,conflicting,0.0,0.0,1
51,43,irrelevant,0.0,-0.2286,1
51,43,role_mismatched,-1.0,-0.1714,1
52,41,beneficial,0.0,0.0,1
52,41,conflicting,1.0,0.5714,1
52,41,irrelevant,-1.0,-0.2381,1
52,41,role_mismatched,-1.0,-0.1714,1
52,42,beneficial,1.0,0.1714,1
52,42,conflicting,0.0,0.0,1
52,42,irrelevant,-1.0,-0.1714,1
52,42,role_mismatched,0.0,0.0,1
52,43,beneficial,1.0,0.1714,1
52,43,conflicting,-1.0,-0.2381,1
52,43,irrelevant,0.0,0.0,1
52,43,role_mismatched,0.0,0.0,1
58,41,beneficial,-1.0,-0.1714,1
58,41,conflicting,1.0,0.4,1
58,41,irrelevant,1.0,0.1714,1
58,41,role_mismatched,0.0,0.0,1
58,42,beneficial,0.0,-0.2286,1
58,42,conflicting,0.0,-0.2286,1
58,42,irrelevant,0.0,0.0,1
58,42,role_mismatched,0.0,0.0,1
58,43,beneficial,0.0,-0.0953,1
58,43,conflicting,0.0,0.0,1
58,43,irrelevant,-1.0,-0.1714,1
58,43,role_mismatched,0.0,-0.2286,1
59,41,beneficial,0.0,0.0,1
59,41,conflicting,0.0,0.0,1
59,41,irrelevant,0.0,0.2286,1
59,41,role_mismatched,0.0,0.0,1
59,42,beneficial,0.0,0.0,1
59,42,conflicting,0.0,0.2286,1
59,42,irrelevant,0.0,0.0,1
59,42,role_mismatched,0.0,0.2286,1
59,43,beneficial,-1.0,-0.1714,1
59,43,conflicting,0.0,0.0,1
59,43,irrelevant,0.0,0.0,1
59,43,role_mismatched,0.0,0.0,1
67,41,beneficial,0.0,0.0,1
67,41,conflicting,0.0,0.0,1
67,41,irrelevant,0.0,0.0,1
67,41,role_mismatched,0.0,0.0,1
67,42,beneficial,0.0,0.0,1
67,42,conflicting,0.0,0.0,1
67,42,irrelevant,0.0,0.0,1
67,42,role_mismatched,0.0,0.0,1
67,43,beneficial,0.0,0.0,1
67,43,conflicting,-1.0,-0.1714,1
67,43,irrelevant,1.0,0.1714,1
67,43,role_mismatched,1.0,0.1714,1
73,41,beneficial,0.0,0.0,1
73,41,conflicting,0.0,-0.2286,1
73,41,irrelevant,0.0,0.0,1
73,41,role_mismatched,1.0,0.1714,1
73,42,beneficial,0.0,-0.2286,1
73,42,conflicting,0.0,0.0,1
73,42,irrelevant,0.0,0.0,1
73,42,role_mismatched,0.0,-0.2286,1
73,43,beneficial,0.0,0.0,1
73,43,conflicting,0.0,-0.2286,1
73,43,irrelevant,0.0,0.2286,1
73,43,role_mismatched,0.0,0.0,1
85,41,beneficial,0.0,-0.2286,1
85,41,conflicting,0.0,0.0,1
85,41,irrelevant,0.0,0.0,1
85,41,role_mismatched,0.0,0.2286,1
85,42,beneficial,-1.0,-0.1714,1
85,42,conflicting,0.0,0.2286,1
85,42,irrelevant,0.0,0.2286,1
85,42,role_mismatched,1.0,0.1714,1
85,43,beneficial,0.0,0.0,1
85,43,conflicting,0.0,0.2286,1
85,43,irrelevant,0.0,0.2286,1
85,43,role_mismatched,0.0,0.0,1
93,41,beneficial,-1.0,-0.1714,1
93,41,conflicting,0.0,0.0,1
93,41,irrelevant,0.0,0.0,1
93,41,role_mismatched,0.0,0.0,1
93,42,beneficial,0.0,0.0,1
93,42,conflicting,1.0,0.1714,1
93,42,irrelevant,1.0,0.1714,1
93,42,role_mismatched,0.0,0.0,1
93,43,beneficial,0.0,0.0,1
93,43,conflicting,1.0,0.1714,1
93,43,irrelevant,-1.0,-0.1714,1
93,43,role_mismatched,0.0,0.0,1
