method,seed,final_reward,cumulative_reward,memory_size,n_validated,n_rejected,contamination_rate,harmful_retention,scenario
rule1_single_negative,0,0.95,88.0,100,10,90,0.0909,0.0,lifelong
rule2_double_negative,0,0.85,86.0,100,29,71,0.0417,0.0714,lifelong
rule3_always_retain,0,0.95,91.0,100,60,40,0.1053,0.0,lifelong
rule1_single_negative,1,0.55,66.0,100,8,92,0.1818,0.0,lifelong
rule2_double_negative,1,1.0,89.0,100,33,67,0.1765,0.0,lifelong
rule3_always_retain,1,1.0,91.0,100,70,30,0.2353,0.0,lifelong
rule1_single_negative,2,0.95,78.0,100,7,93,0.2069,0.0714,lifelong
rule2_double_negative,2,1.0,86.0,100,32,68,0.2,0.0909,lifelong
rule3_always_retain,2,1.0,88.0,100,59,41,0.1333,0.0,lifelong
rule1_single_negative,3,0.65,66.0,100,9,91,0.0435,0.0,lifelong
rule2_double_negative,3,0.95,91.0,100,38,62,0.1,0.0,lifelong
rule3_always_retain,3,1.0,93.0,100,60,40,0.1176,0.0,lifelong
rule1_single_negative,4,0.8,76.0,100,8,92,0.0526,0.0,lifelong
rule2_double_negative,4,0.9,87.0,100,30,70,0.3462,0.0,lifelong
rule3_always_retain,4,1.0,94.0,100,65,35,0.2727,0.1,lifelong
rule1_single_negative,0,0.95,81.0,100,11,89,0.0,0.0,contamination_0.1
rule2_double_negative,0,1.0,90.0,100,37,63,0.2,0.0,contamination_0.1
rule3_always_retain,0,1.0,92.0,100,64,36,0.1111,0.0,contamination_0.1
rule1_single_negative,1,0.85,70.0,100,10,90,0.0,0.0,contamination_0.1
rule2_double_negative,1,1.0,89.0,100,33,67,0.1667,0.0,contamination_0.1
rule3_always_retain,1,1.0,89.0,100,78,22,0.3333,0.0,contamination_0.1
rule1_single_negative,2,0.9,82.0,100,7,93,0.1667,0.0,contamination_0.1
rule2_double_negative,2,1.0,90.0,100,36,64,0.4667,0.2,contamination_0.1
rule3_always_retain,2,0.95,92.0,100,70,30,0.1111,0.0,contamination_0.1
rule1_single_negative,3,0.85,78.0,100,6,94,0.1,0.0,contamination_0.1
rule2_double_negative,3,0.95,90.0,100,43,57,0.1111,0.0,contamination_0.1
rule3_always_retain,3,1.0,92.0,100,64,36,0.1429,0.0,contamination_0.1
rule1_single_negative,4,0.9,82.0,100,15,85,0.25,0.0,contamination_0.1
rule2_double_negative,4,1.0,92.0,100,38,62,0.2,0.0,contamination_0.1
rule3_always_retain,4,1.0,90.0,100,57,43,0.0714,0.0,contamination_0.1
rule1_single_negative,0,0.95,88.0,100,10,90,0.0909,0.0,contamination_0.2
rule2_double_negative,0,0.85,86.0,100,29,71,0.0417,0.0714,contamination_0.2
rule3_always_retain,0,0.95,91.0,100,60,40,0.1053,0.0,contamination_0.2
rule1_single_negative,1,0.55,66.0,100,8,92,0.1818,0.0,contamination_0.2
rule2_double_negative,1,1.0,89.0,100,33,67,0.1765,0.0,contamination_0.2
rule3_always_retain,1,1.0,91.0,100,70,30,0.2353,0.0,contamination_0.2
rule1_single_negative,2,0.95,78.0,100,7,93,0.2069,0.0714,contamination_0.2
rule2_double_negative,2,1.0,86.0,100,32,68,0.2,0.0909,contamination_0.2
rule3_always_retain,2,1.0,88.0,100,59,41,0.1333,0.0,contamination_0.2
rule1_single_negative,3,0.65,66.0,100,9,91,0.0435,0.0,contamination_0.2
rule2_double_negative,3,0.95,91.0,100,38,62,0.1,0.0,contamination_0.2
rule3_always_retain,3,1.0,93.0,100,60,40,0.1176,0.0,contamination_0.2
rule1_single_negative,4,0.8,76.0,100,8,92,0.0526,0.0,contamination_0.2
rule2_double_negative,4,0.9,87.0,100,30,70,0.3462,0.0,contamination_0.2
rule3_always_retain,4,1.0,94.0,100,65,35,0.2727,0.1,contamination_0.2
rule1_single_negative,0,0.75,66.0,100,8,92,0.2143,0.0833,contamination_0.3
rule2_double_negative,0,1.0,93.0,100,29,71,0.25,0.0,contamination_0.3
rule3_always_retain,0,0.9,90.0,100,47,53,0.2069,0.0667,contamination_0.3
rule1_single_negative,1,0.6,55.0,100,9,91,0.1481,0.0625,contamination_0.3
rule2_double_negative,1,0.95,85.0,100,34,66,0.25,0.0,contamination_0.3
rule3_always_retain,1,1.0,91.0,100,55,45,0.0968,0.0,contamination_0.3
rule1_single_negative,2,0.9,68.0,100,10,90,0.1892,0.0,contamination_0.3
rule2_double_negative,2,0.95,83.0,100,24,76,0.1935,0.0667,contamination_0.3
rule3_always_retain,2,1.0,87.0,100,60,40,0.1429,0.0,contamination_0.3
rule1_single_negative,3,0.7,69.0,100,5,95,0.3,0.0,contamination_0.3
rule2_double_negative,3,1.0,90.0,100,29,71,0.1053,0.0,contamination_0.3
rule3_always_retain,3,1.0,91.0,100,56,44,0.2258,0.0909,contamination_0.3
rule1_single_negative,4,0.9,70.0,100,9,91,0.1143,0.0,contamination_0.3
rule2_double_negative,4,0.95,90.0,100,23,77,0.303,0.0,contamination_0.3
rule3_always_retain,4,1.0,94.0,100,56,44,0.2222,0.0,contamination_0.3
rule1_single_negative,0,0.95,81.0,100,10,90,0.0,0.0,outdated
rule2_double_negative,0,0.95,84.0,100,32,68,0.0,0.0,outdated
rule3_always_retain,0,0.9,88.0,100,75,25,0.0,0.0,outdated
rule1_single_negative,1,0.85,78.0,100,15,85,0.0,0.0,outdated
rule2_double_negative,1,0.95,84.0,100,33,67,0.0,0.0,outdated
rule3_always_retain,1,1.0,89.0,100,73,27,0.0,0.0,outdated
rule1_single_negative,2,0.85,70.0,100,11,89,0.0,0.0,outdated
rule2_double_negative,2,1.0,92.0,100,31,69,0.0,0.0,outdated
