scenario,method,task_id,seed,team_reward,receiver_1_reward,receiver_2_reward,receiver_3_reward,receiver_1_injected,receiver_2_injected,receiver_3_injected,receiver_1_positive,receiver_2_positive,receiver_3_positive,receiver_1_negative,receiver_2_negative,receiver_3_negative,receiver_disagreement_std
bargaining,no_memory,bargaining:1,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:1,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,6,6,6,0,0,0,0,0,0,0.0
bargaining,retrieval,bargaining:1,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:1,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:1,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:1,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:1,1,0.16666666666666666,0.5,0.5,-0.5,6,6,6,2,2,1,2,2,2,0.0
bargaining,retrieval,bargaining:1,1,0.16666666666666666,0.5,0.5,-0.5,3,3,3,1,1,0,1,1,1,0.0
bargaining,smtr_uniform,bargaining:1,1,2.1666666666666665,2.5,2.5,1.5,2,2,2,2,2,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:1,1,2.1666666666666665,2.5,2.5,1.5,2,2,1,2,2,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:1,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:1,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,6,6,1,1,1,1,1,1,0.0
bargaining,retrieval,bargaining:1,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:1,2,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1,1,1,1,1,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:1,2,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1,1,1,1,1,1,0,0,0,0.0
bargaining,no_memory,bargaining:100,0,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:100,0,0.7222222222222222,1.3333333333333333,0.3333333333333333,0.5,6,6,6,2,1,2,1,1,2,0.0
bargaining,retrieval,bargaining:100,0,1.7222222222222223,2.3333333333333335,1.3333333333333333,1.5,3,3,3,2,1,2,0,0,1,0.0
bargaining,smtr_uniform,bargaining:100,0,2.055555555555556,2.3333333333333335,1.3333333333333333,2.5,2,2,2,2,1,2,0,0,0,0.0
bargaining,smtr_receiver,bargaining:100,0,2.055555555555556,2.3333333333333335,1.3333333333333333,2.5,2,1,2,2,1,2,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:100,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:100,1,0.8333333333333334,0.5,1.5,0.5,6,6,6,1,2,1,1,1,1,0.0
bargaining,retrieval,bargaining:100,1,1.8333333333333333,1.5,2.5,1.5,3,3,3,1,2,1,0,0,0,0.0
bargaining,smtr_uniform,bargaining:100,1,1.8333333333333333,1.5,2.5,1.5,2,2,2,1,2,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:100,1,1.8333333333333333,1.5,2.5,1.5,1,2,1,1,2,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:100,2,0.1111111111111111,0.0,0.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:100,2,0.11111111111111109,0.0,1.0,-0.6666666666666667,6,6,6,0,1,1,0,0,2,0.0
bargaining,retrieval,bargaining:100,2,0.11111111111111109,0.0,1.0,-0.6666666666666667,3,3,3,0,1,0,0,0,1,0.0
bargaining,smtr_uniform,bargaining:100,2,0.7777777777777777,0.0,1.0,1.3333333333333333,2,2,2,0,1,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:100,2,0.7777777777777777,0.0,1.0,1.3333333333333333,0,1,1,0,1,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:11,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:11,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,6,6,6,1,1,1,1,1,1,0.0
bargaining,retrieval,bargaining:11,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:11,0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1,1,1,1,1,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:11,0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1,1,1,1,1,1,0,0,0,0.0
bargaining,no_memory,bargaining:11,1,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:11,1,2.055555555555556,2.3333333333333335,2.3333333333333335,1.5,6,6,6,2,2,2,0,0,1,0.0
bargaining,retrieval,bargaining:11,1,1.3888888888888886,1.3333333333333333,1.3333333333333333,1.5,3,3,3,1,1,1,0,0,0,0.0
bargaining,smtr_uniform,bargaining:11,1,2.388888888888889,2.3333333333333335,2.3333333333333335,2.5,2,2,2,2,2,2,0,0,0,0.0
bargaining,smtr_receiver,bargaining:11,1,2.388888888888889,2.3333333333333335,2.3333333333333335,2.5,2,2,2,2,2,2,0,0,0,0.0
bargaining,no_memory,bargaining:11,2,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:11,2,-0.9444444444444445,-0.6666666666666667,-0.6666666666666667,-1.5,6,6,6,0,0,0,1,1,2,0.0
bargaining,retrieval,bargaining:11,2,-0.6111111111111112,-0.6666666666666667,-0.6666666666666667,-0.5,3,3,3,0,0,0,1,1,1,0.0
bargaining,smtr_uniform,bargaining:11,2,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:11,2,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:12,0,0.05555555555555555,0.0,0.0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:12,0,1.388888888888889,1.0,3.0,0.16666666666666666,6,6,6,1,3,1,0,0,1,0.0
bargaining,retrieval,bargaining:12,0,0.055555555555555546,0.0,1.0,-0.8333333333333334,3,3,3,0,1,0,0,0,1,0.0
bargaining,smtr_uniform,bargaining:12,0,1.7222222222222223,1.0,3.0,1.1666666666666667,3,3,3,1,3,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:12,0,1.7222222222222223,1.0,3.0,1.1666666666666667,1,3,1,1,3,1,0,0,0,0.9428090415820634
bargaining,no_memory,bargaining:12,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
