method,seed,domain,episodes,agents,receivers
agemem,0,database,39,agent1,1
agemem,1,database,40,agent1,1
agemem,2,database,39,agent1,1
full_memory,0,database,39,agent1,1
full_memory,1,database,40,agent1,1
full_memory,2,database,39,agent1,1
heuristic,0,database,39,agent1,1
heuristic,1,database,40,agent1,1
heuristic,2,database,39,agent1,1
no_memory,0,database,39,agent1,1
no_memory,1,database,40,agent1,1
no_memory,2,database,39,agent1,1
reflexion,0,database,39,agent1,1
reflexion,1,database,40,agent1,1
reflexion,2,database,39,agent1,1
retrieval,0,database,39,agent1,1
retrieval,1,database,40,agent1,1
retrieval,2,database,39,agent1,1
smtr_tci,0,database,39,agent1,1
smtr_tci,1,database,40,agent1,1
smtr_tci,2,database,39,agent1,1
