episode,method,seed,reward,cumulative_reward,n_stored,n_validated,n_rejected
0,full_memory,0,0.0,0.0,1,0,0
1,full_memory,0,0.0,0.0,2,0,0
2,full_memory,0,1.0,1.0,3,0,0
3,full_memory,0,0.0,1.0,4,0,0
4,full_memory,0,1.0,2.0,5,0,0
5,full_memory,0,0.0,2.0,6,0,0
6,full_memory,0,1.0,3.0,7,0,0
7,full_memory,0,0.0,3.0,8,0,0
8,full_memory,0,0.0,3.0,9,0,0
9,full_memory,0,0.0,3.0,10,0,0
10,full_memory,0,1.0,4.0,11,0,0
11,full_memory,0,0.0,4.0,12,0,0
12,full_memory,0,0.0,4.0,13,0,0
13,full_memory,0,0.0,4.0,14,0,0
14,full_memory,0,0.0,4.0,15,0,0
15,full_memory,0,1.0,5.0,16,0,0
16,full_memory,0,1.0,6.0,17,0,0
17,full_memory,0,1.0,7.0,18,0,0
18,full_memory,0,0.0,7.0,19,0,0
19,full_memory,0,0.0,7.0,20,0,0
20,full_memory,0,1.0,8.0,21,0,0
21,full_memory,0,0.0,8.0,22,0,0
22,full_memory,0,1.0,9.0,23,0,0
23,full_memory,0,1.0,10.0,24,0,0
24,full_memory,0,0.0,10.0,25,0,0
25,full_memory,0,0.0,10.0,26,0,0
26,full_memory,0,1.0,11.0,27,0,0
27,full_memory,0,1.0,12.0,28,0,0
28,full_memory,0,1.0,13.0,29,0,0
29,full_memory,0,0.0,13.0,30,0,0
30,full_memory,0,1.0,14.0,31,0,0
31,full_memory,0,1.0,15.0,32,0,0
32,full_memory,0,1.0,16.0,33,0,0
33,full_memory,0,0.0,16.0,34,0,0
34,full_memory,0,1.0,17.0,35,0,0
35,full_memory,0,1.0,18.0,36,0,0
36,full_memory,0,1.0,19.0,37,0,0
37,full_memory,0,1.0,20.0,38,0,0
38,full_memory,0,1.0,21.0,39,0,0
39,full_memory,0,0.0,21.0,40,0,0
40,full_memory,0,1.0,22.0,41,0,0
41,full_memory,0,1.0,23.0,42,0,0
42,full_memory,0,1.0,24.0,43,0,0
43,full_memory,0,1.0,25.0,44,0,0
44,full_memory,0,1.0,26.0,45,0,0
45,full_memory,0,1.0,27.0,46,0,0
46,full_memory,0,1.0,28.0,47,0,0
47,full_memory,0,1.0,29.0,48,0,0
48,full_memory,0,1.0,30.0,49,0,0
49,full_memory,0,1.0,31.0,50,0,0
50,full_memory,0,1.0,32.0,51,0,0
51,full_memory,0,1.0,33.0,52,0,0
52,full_memory,0,1.0,34.0,53,0,0
53,full_memory,0,1.0,35.0,54,0,0
54,full_memory,0,0.0,35.0,55,0,0
55,full_memory,0,1.0,36.0,56,0,0
56,full_memory,0,0.0,36.0,57,0,0
57,full_memory,0,0.0,36.0,58,0,0
58,full_memory,0,1.0,37.0,59,0,0
59,full_memory,0,1.0,38.0,60,0,0
60,full_memory,0,1.0,39.0,61,0,0
61,full_memory,0,0.0,39.0,62,0,0
62,full_memory,0,1.0,40.0,63,0,0
63,full_memory,0,1.0,41.0,64,0,0
