episode,method,seed,reward,cumulative_reward,n_stored,n_validated,n_rejected
0,no_memory,0,1.0,1.0,0,0,0
1,no_memory,0,0.0,1.0,0,0,0
2,no_memory,0,1.0,2.0,0,0,0
3,no_memory,0,0.0,2.0,0,0,0
4,no_memory,0,1.0,3.0,0,0,0
5,no_memory,0,0.0,3.0,0,0,0
6,no_memory,0,1.0,4.0,0,0,0
7,no_memory,0,1.0,5.0,0,0,0
8,no_memory,0,1.0,6.0,0,0,0
9,no_memory,0,0.0,6.0,0,0,0
0,full_memory,0,0.0,0.0,1,0,0
1,full_memory,0,0.0,0.0,2,0,0
2,full_memory,0,1.0,1.0,3,0,0
3,full_memory,0,0.0,1.0,4,0,0
4,full_memory,0,1.0,2.0,5,0,0
5,full_memory,0,0.0,2.0,6,0,0
6,full_memory,0,1.0,3.0,7,0,0
7,full_memory,0,0.0,3.0,8,0,0
8,full_memory,0,0.0,3.0,9,0,0
9,full_memory,0,1.0,4.0,10,0,0
0,retrieval,0,1.0,1.0,1,0,0
1,retrieval,0,0.0,1.0,2,0,0
2,retrieval,0,0.0,1.0,3,0,0
3,retrieval,0,1.0,2.0,4,0,0
4,retrieval,0,0.0,2.0,5,0,0
5,retrieval,0,1.0,3.0,6,0,0
6,retrieval,0,1.0,4.0,7,0,0
7,retrieval,0,0.0,4.0,8,0,0
8,retrieval,0,0.0,4.0,9,0,0
9,retrieval,0,1.0,5.0,10,0,0
0,smtr_tci,0,0.0,0.0,1,1,0
1,smtr_tci,0,1.0,1.0,2,1,1
2,smtr_tci,0,0.0,1.0,3,2,1
3,smtr_tci,0,1.0,2.0,4,2,2
4,smtr_tci,0,0.0,2.0,5,3,2
5,smtr_tci,0,0.0,2.0,6,4,2
6,smtr_tci,0,1.0,3.0,7,5,2
7,smtr_tci,0,0.0,3.0,8,6,2
8,smtr_tci,0,1.0,4.0,9,6,3
9,smtr_tci,0,0.0,4.0,10,6,4
