variant,method,final_reward_mean,final_reward_std,performance_drop_mean,recovery_episodes_mean,harmful_memory_retention_rate
false_spurious_r0.1,no_memory,0.44000000000000006,0.12,,,0.0
false_spurious_r0.1,full_memory,0.8400000000000001,0.10198039027185571,,,1.0
false_spurious_r0.1,retrieval,0.96,0.07999999999999999,,,1.0
false_spurious_r0.1,smtr_tci,0.9199999999999999,0.0979795897113271,,,0.20930232558139536
false_spurious_r0.2,no_memory,0.44000000000000006,0.10198039027185568,,,0.0
false_spurious_r0.2,full_memory,0.74,0.1356465996625054,,,1.0
false_spurious_r0.2,retrieval,0.9399999999999998,0.04898979485566355,,,1.0
false_spurious_r0.2,smtr_tci,0.8800000000000001,0.039999999999999994,,,0.10752688172043011
false_spurious_r0.3,no_memory,0.4,0.0632455532033676,,,0.0
false_spurious_r0.3,full_memory,0.5,0.12649110640673517,,,1.0
false_spurious_r0.3,retrieval,0.78,0.16,,,1.0
false_spurious_r0.3,smtr_tci,0.7400000000000001,0.10198039027185572,,,0.17105263157894737
outdated,no_memory,0.44000000000000006,0.10198039027185568,-0.0033333333333333435,12.4,0.0
outdated,full_memory,0.56,0.04898979485566355,-0.05,19.4,1.0
outdated,retrieval,0.8800000000000001,0.03999999999999999,-0.06500000000000003,15.0,1.0
outdated,smtr_tci,0.8,0.0,-0.04500000000000002,15.4,0.1326530612244898
