task_id,domain,mean_reward,std_reward,success_rate,failure_rate,n_episodes,n_real_engine
12,bargaining,1.0,0.0,1.0,0.0,2,2
14,bargaining,1.0,0.0,1.0,0.0,2,2
15,bargaining,1.0,0.0,1.0,0.0,2,2
18,bargaining,1.0,0.0,1.0,0.0,2,2
28,bargaining,1.0,0.0,1.0,0.0,2,2
29,bargaining,1.0,0.0,1.0,0.0,2,2
30,bargaining,1.0,0.0,1.0,0.0,2,2
32,bargaining,1.0,0.0,1.0,0.0,2,2
36,bargaining,1.0,0.0,1.0,0.0,2,2
4,bargaining,1.0,0.0,1.0,0.0,2,2
5,bargaining,1.0,0.0,1.0,0.0,2,2
55,bargaining,1.0,0.0,1.0,0.0,2,2
65,bargaining,1.0,0.0,1.0,0.0,2,2
70,bargaining,1.0,0.0,1.0,0.0,2,2
72,bargaining,1.0,0.0,1.0,0.0,2,2
76,bargaining,1.0,0.0,1.0,0.0,2,2
78,bargaining,1.0,0.0,1.0,0.0,2,2
82,bargaining,1.0,0.0,1.0,0.0,2,2
87,bargaining,1.0,0.0,1.0,0.0,2,2
95,bargaining,1.0,0.0,1.0,0.0,2,2
1,coding,1.0,0.0,1.0,0.0,2,2
12,coding,1.0,0.0,1.0,0.0,2,2
14,coding,1.0,0.0,1.0,0.0,2,2
20,coding,1.0,0.0,1.0,0.0,2,2
21,coding,1.0,0.0,1.0,0.0,2,2
26,coding,1.0,0.0,1.0,0.0,2,2
28,coding,1.0,0.0,1.0,0.0,2,2
29,coding,1.0,0.0,1.0,0.0,2,2
36,coding,1.0,0.0,1.0,0.0,2,2
44,coding,1.0,0.0,1.0,0.0,2,2
49,coding,1.0,0.0,1.0,0.0,2,2
54,coding,1.0,0.0,1.0,0.0,2,2
55,coding,1.0,0.0,1.0,0.0,2,2
58,coding,1.0,0.0,1.0,0.0,2,2
70,coding,1.0,0.0,1.0,0.0,2,2
76,coding,1.0,0.0,1.0,0.0,2,2
84,coding,1.0,0.0,1.0,0.0,2,2
90,coding,1.0,0.0,1.0,0.0,2,2
92,coding,1.0,0.0,1.0,0.0,2,2
98,coding,1.0,0.0,1.0,0.0,2,2
11,database,1.0,0.0,1.0,0.0,2,2
13,database,1.0,0.0,1.0,0.0,2,2
16,database,1.0,0.0,1.0,0.0,2,2
25,database,1.0,0.0,1.0,0.0,2,2
34,database,1.0,0.0,1.0,0.0,2,2
38,database,1.0,0.0,1.0,0.0,2,2
45,database,1.0,0.0,1.0,0.0,2,2
46,database,1.0,0.0,1.0,0.0,2,2
47,database,1.0,0.0,1.0,0.0,2,2
49,database,1.0,0.0,1.0,0.0,2,2
59,database,1.0,0.0,1.0,0.0,2,2
6,database,1.0,0.0,1.0,0.0,2,2
69,database,1.0,0.0,1.0,0.0,2,2
71,database,1.0,0.0,1.0,0.0,2,2
74,database,1.0,0.0,1.0,0.0,2,2
78,database,1.0,0.0,1.0,0.0,2,2
80,database,1.0,0.0,1.0,0.0,2,2
81,database,1.0,0.0,1.0,0.0,2,2
91,database,1.0,0.0,1.0,0.0,2,2
94,database,1.0,0.0,1.0,0.0,2,2
11,minecraft,1.0,0.0,1.0,0.0,2,2
13,minecraft,1.0,0.0,1.0,0.0,2,2
21,minecraft,1.0,0.0,1.0,0.0,2,2
27,minecraft,1.0,0.0,1.0,0.0,2,2
30,minecraft,1.0,0.0,1.0,0.0,2,2
35,minecraft,1.0,0.0,1.0,0.0,2,2
36,minecraft,1.0,0.0,1.0,0.0,2,2
38,minecraft,1.0,0.0,1.0,0.0,2,2
46,minecraft,1.0,0.0,1.0,0.0,2,2
47,minecraft,1.0,0.0,1.0,0.0,2,2
48,minecraft,1.0,0.0,1.0,0.0,2,2
49,minecraft,1.0,0.0,1.0,0.0,2,2
59,minecraft,1.0,0.0,1.0,0.0,2,2
6,minecraft,1.0,0.0,1.0,0.0,2,2
82,minecraft,1.0,0.0,1.0,0.0,2,2
85,minecraft,1.0,0.0,1.0,0.0,2,2
86,minecraft,1.0,0.0,1.0,0.0,2,2
9,minecraft,1.0,0.0,1.0,0.0,2,2
90,minecraft,1.0,0.0,1.0,0.0,2,2
99,minecraft,1.0,0.0,1.0,0.0,2,2
10,research,1.0,0.0,1.0,0.0,2,2
100,research,1.0,0.0,1.0,0.0,2,2
21,research,1.0,0.0,1.0,0.0,2,2
22,research,1.0,0.0,1.0,0.0,2,2
29,research,1.0,0.0,1.0,0.0,2,2
32,research,1.0,0.0,1.0,0.0,2,2
35,research,1.0,0.0,1.0,0.0,2,2
42,research,1.0,0.0,1.0,0.0,2,2
49,research,1.0,0.0,1.0,0.0,2,2
60,research,1.0,0.0,1.0,0.0,2,2
69,research,1.0,0.0,1.0,0.0,2,2
72,research,1.0,0.0,1.0,0.0,2,2
78,research,1.0,0.0,1.0,0.0,2,2
8,research,1.0,0.0,1.0,0.0,2,2
82,research,1.0,0.0,1.0,0.0,2,2
83,research,0.0,0.0,0.0,1.0,2,2
88,research,1.0,0.0,1.0,0.0,2,2
89,research,1.0,0.0,1.0,0.0,2,2
94,research,1.0,0.0,1.0,0.0,2,2
99,research,1.0,0.0,1.0,0.0,2,2
