rank,task_id,domain,difficulty,mean_reward,std_reward,success_rate,failure_rate,n_episodes,n_real_engine
1,83,research,hard,0.0,0.0,0.0,1.0,2,2
2,12,bargaining,easy,1.0,0.0,1.0,0.0,2,2
3,14,bargaining,easy,1.0,0.0,1.0,0.0,2,2
4,15,bargaining,easy,1.0,0.0,1.0,0.0,2,2
5,18,bargaining,easy,1.0,0.0,1.0,0.0,2,2
6,28,bargaining,easy,1.0,0.0,1.0,0.0,2,2
7,29,bargaining,easy,1.0,0.0,1.0,0.0,2,2
8,30,bargaining,easy,1.0,0.0,1.0,0.0,2,2
9,32,bargaining,easy,1.0,0.0,1.0,0.0,2,2
10,36,bargaining,easy,1.0,0.0,1.0,0.0,2,2
11,4,bargaining,easy,1.0,0.0,1.0,0.0,2,2
12,5,bargaining,easy,1.0,0.0,1.0,0.0,2,2
13,55,bargaining,easy,1.0,0.0,1.0,0.0,2,2
14,65,bargaining,easy,1.0,0.0,1.0,0.0,2,2
15,70,bargaining,easy,1.0,0.0,1.0,0.0,2,2
16,72,bargaining,easy,1.0,0.0,1.0,0.0,2,2
17,76,bargaining,easy,1.0,0.0,1.0,0.0,2,2
18,78,bargaining,easy,1.0,0.0,1.0,0.0,2,2
19,82,bargaining,easy,1.0,0.0,1.0,0.0,2,2
20,87,bargaining,easy,1.0,0.0,1.0,0.0,2,2
21,95,bargaining,easy,1.0,0.0,1.0,0.0,2,2
22,1,coding,easy,1.0,0.0,1.0,0.0,2,2
23,12,coding,easy,1.0,0.0,1.0,0.0,2,2
24,14,coding,easy,1.0,0.0,1.0,0.0,2,2
25,20,coding,easy,1.0,0.0,1.0,0.0,2,2
26,21,coding,easy,1.0,0.0,1.0,0.0,2,2
27,26,coding,easy,1.0,0.0,1.0,0.0,2,2
28,28,coding,easy,1.0,0.0,1.0,0.0,2,2
29,29,coding,easy,1.0,0.0,1.0,0.0,2,2
30,36,coding,easy,1.0,0.0,1.0,0.0,2,2
31,44,coding,easy,1.0,0.0,1.0,0.0,2,2
32,49,coding,easy,1.0,0.0,1.0,0.0,2,2
33,54,coding,easy,1.0,0.0,1.0,0.0,2,2
34,55,coding,easy,1.0,0.0,1.0,0.0,2,2
35,58,coding,easy,1.0,0.0,1.0,0.0,2,2
36,70,coding,easy,1.0,0.0,1.0,0.0,2,2
37,76,coding,easy,1.0,0.0,1.0,0.0,2,2
38,84,coding,easy,1.0,0.0,1.0,0.0,2,2
39,90,coding,easy,1.0,0.0,1.0,0.0,2,2
40,92,coding,easy,1.0,0.0,1.0,0.0,2,2
41,98,coding,easy,1.0,0.0,1.0,0.0,2,2
42,11,database,easy,1.0,0.0,1.0,0.0,2,2
43,13,database,easy,1.0,0.0,1.0,0.0,2,2
44,16,database,easy,1.0,0.0,1.0,0.0,2,2
45,25,database,easy,1.0,0.0,1.0,0.0,2,2
46,34,database,easy,1.0,0.0,1.0,0.0,2,2
47,38,database,easy,1.0,0.0,1.0,0.0,2,2
48,45,database,easy,1.0,0.0,1.0,0.0,2,2
49,46,database,easy,1.0,0.0,1.0,0.0,2,2
50,47,database,easy,1.0,0.0,1.0,0.0,2,2
51,49,database,easy,1.0,0.0,1.0,0.0,2,2
52,59,database,easy,1.0,0.0,1.0,0.0,2,2
53,6,database,easy,1.0,0.0,1.0,0.0,2,2
54,69,database,easy,1.0,0.0,1.0,0.0,2,2
55,71,database,easy,1.0,0.0,1.0,0.0,2,2
56,74,database,easy,1.0,0.0,1.0,0.0,2,2
57,78,database,easy,1.0,0.0,1.0,0.0,2,2
58,80,database,easy,1.0,0.0,1.0,0.0,2,2
59,81,database,easy,1.0,0.0,1.0,0.0,2,2
60,91,database,easy,1.0,0.0,1.0,0.0,2,2
61,94,database,easy,1.0,0.0,1.0,0.0,2,2
62,11,minecraft,easy,1.0,0.0,1.0,0.0,2,2
63,13,minecraft,easy,1.0,0.0,1.0,0.0,2,2
64,21,minecraft,easy,1.0,0.0,1.0,0.0,2,2
65,27,minecraft,easy,1.0,0.0,1.0,0.0,2,2
66,30,minecraft,easy,1.0,0.0,1.0,0.0,2,2
67,35,minecraft,easy,1.0,0.0,1.0,0.0,2,2
68,36,minecraft,easy,1.0,0.0,1.0,0.0,2,2
69,38,minecraft,easy,1.0,0.0,1.0,0.0,2,2
70,46,minecraft,easy,1.0,0.0,1.0,0.0,2,2
71,47,minecraft,easy,1.0,0.0,1.0,0.0,2,2
72,48,minecraft,easy,1.0,0.0,1.0,0.0,2,2
73,49,minecraft,easy,1.0,0.0,1.0,0.0,2,2
74,59,minecraft,easy,1.0,0.0,1.0,0.0,2,2
75,6,minecraft,easy,1.0,0.0,1.0,0.0,2,2
76,82,minecraft,easy,1.0,0.0,1.0,0.0,2,2
77,85,minecraft,easy,1.0,0.0,1.0,0.0,2,2
78,86,minecraft,easy,1.0,0.0,1.0,0.0,2,2
79,9,minecraft,easy,1.0,0.0,1.0,0.0,2,2
80,90,minecraft,easy,1.0,0.0,1.0,0.0,2,2
81,99,minecraft,easy,1.0,0.0,1.0,0.0,2,2
82,10,research,easy,1.0,0.0,1.0,0.0,2,2
83,100,research,easy,1.0,0.0,1.0,0.0,2,2
84,21,research,easy,1.0,0.0,1.0,0.0,2,2
85,22,research,easy,1.0,0.0,1.0,0.0,2,2
86,29,research,easy,1.0,0.0,1.0,0.0,2,2
87,32,research,easy,1.0,0.0,1.0,0.0,2,2
88,35,research,easy,1.0,0.0,1.0,0.0,2,2
89,42,research,easy,1.0,0.0,1.0,0.0,2,2
90,49,research,easy,1.0,0.0,1.0,0.0,2,2
91,60,research,easy,1.0,0.0,1.0,0.0,2,2
92,69,research,easy,1.0,0.0,1.0,0.0,2,2
93,72,research,easy,1.0,0.0,1.0,0.0,2,2
94,78,research,easy,1.0,0.0,1.0,0.0,2,2
95,8,research,easy,1.0,0.0,1.0,0.0,2,2
96,82,research,easy,1.0,0.0,1.0,0.0,2,2
97,88,research,easy,1.0,0.0,1.0,0.0,2,2
98,89,research,easy,1.0,0.0,1.0,0.0,2,2
99,94,research,easy,1.0,0.0,1.0,0.0,2,2
100,99,research,easy,1.0,0.0,1.0,0.0,2,2
