domain,method,n_groups,mean_reward,std,early_reward,late_reward,memory_count,positive_rate,harmful_rate,contamination,memory_efficiency,mean_tau
solo,agemem,9,0.0,0.816496580927726,-0.6666666666666666,0.0,3.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,-0.1111111111111111
solo,full_memory,9,0.0,1.247219128924647,-1.0,0.0,4.555555555555555,0.3333333333333333,0.4444444444444444,0.0975609756097561,0.0,-0.1111111111111111
solo,heuristic,9,0.0,0.816496580927726,-0.6666666666666666,0.0,3.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,-0.1111111111111111
solo,no_memory,9,0.1111111111111111,0.31426968052735443,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0
solo,reflexion,9,0.0,0.816496580927726,-0.6666666666666666,0.0,3.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,-0.1111111111111111
solo,retrieval,9,0.0,0.816496580927726,-0.6666666666666666,0.0,3.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,-0.1111111111111111
solo,smtr_tci,9,0.4444444444444444,0.6849348892187752,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.3333333333333333,0.3333333333333333
small,agemem,23,0.391304347826087,0.7064381221422575,0.0,0.5555555555555556,2.652173913043478,0.08695652173913043,0.17391304347826086,0.06557377049180328,0.1475409836065574,-0.08695652173913043
small,full_memory,23,0.4782608695652174,1.1747179205309826,-0.2857142857142857,0.6666666666666666,4.086956521739131,0.30434782608695654,0.30434782608695654,0.07446808510638298,0.11702127659574467,0.0
small,heuristic,23,0.5652173913043478,0.7117698062497783,0.14285714285714285,0.6666666666666666,2.652173913043478,0.21739130434782608,0.13043478260869565,0.04918032786885246,0.21311475409836067,0.08695652173913043
small,no_memory,23,0.4782608695652174,0.4995271866554807,0.5714285714285714,0.4444444444444444,0.0,0.0,0.0,0.0,47.82608695652174,0.0
small,reflexion,23,0.5652173913043478,0.7117698062497783,0.14285714285714285,0.6666666666666666,2.652173913043478,0.21739130434782608,0.13043478260869565,0.04918032786885246,0.21311475409836067,0.08695652173913043
small,retrieval,23,0.43478260869565216,0.770436745507363,0.0,0.5555555555555556,2.652173913043478,0.13043478260869565,0.17391304347826086,0.06557377049180328,0.1639344262295082,-0.043478260869565216
small,smtr_tci,23,0.782608695652174,0.6565073421974564,0.5714285714285714,0.6666666666666666,0.30434782608695654,0.30434782608695654,0.0,0.0,2.571428571428571,0.30434782608695654
medium,agemem,38,0.3157894736842105,0.5183609369366371,0.23076923076923078,0.3333333333333333,2.8947368421052633,0.18421052631578946,0.18421052631578946,0.06363636363636363,0.10909090909090909,0.0
medium,full_memory,38,0.21052631578947367,1.0799097120359575,-0.07692307692307693,0.08333333333333333,4.815789473684211,0.2894736842105263,0.39473684210526316,0.08196721311475409,0.04371584699453552,-0.10526315789473684
medium,heuristic,38,0.2631578947368421,0.6359497880839249,0.07692307692307693,0.25,2.8947368421052633,0.18421052631578946,0.23684210526315788,0.08181818181818182,0.0909090909090909,-0.05263157894736842
medium,no_memory,38,0.3157894736842105,0.464829519280413,0.38461538461538464,0.3333333333333333,0.0,0.0,0.0,0.0,31.57894736842105,0.0
