method,task_id,receiver_id,seed,n_candidates,n_injected,n_positive,n_harmful,n_neutral,total_tau,withhold_reward,method_reward
no_memory,10,agent1,0,4,0,0,0,0,0.0,0.0,0.0
no_memory,10,agent1,1,2,0,0,0,0,0.0,0.0,0.0
no_memory,10,agent1,2,2,0,0,0,0,0.0,0.0,0.0
no_memory,100,agent1,1,3,0,0,0,0,0.0,0.0,0.0
no_memory,100,agent1,2,3,0,0,0,0,0.0,0.0,0.0
no_memory,11,agent1,1,3,0,0,0,0,0.0,0.0,0.0
no_memory,11,agent1,2,5,0,0,0,0,0.0,0.0,0.0
no_memory,13,agent1,2,1,0,0,0,0,0.0,1.0,1.0
no_memory,16,agent1,0,5,0,0,0,0,0.0,1.0,1.0
no_memory,16,agent1,1,6,0,0,0,0,0.0,1.0,1.0
no_memory,17,agent1,0,4,0,0,0,0,0.0,0.0,0.0
no_memory,17,agent1,1,4,0,0,0,0,0.0,0.0,0.0
no_memory,19,agent1,0,5,0,0,0,0,0.0,1.0,1.0
no_memory,19,agent1,1,4,0,0,0,0,0.0,0.0,0.0
no_memory,19,agent1,2,2,0,0,0,0,0.0,0.0,0.0
no_memory,2,agent1,2,6,0,0,0,0,0.0,0.0,0.0
no_memory,21,agent1,0,1,0,0,0,0,0.0,0.0,0.0
no_memory,21,agent1,2,5,0,0,0,0,0.0,0.0,0.0
no_memory,22,agent1,0,4,0,0,0,0,0.0,1.0,1.0
no_memory,22,agent1,1,5,0,0,0,0,0.0,1.0,1.0
no_memory,23,agent1,0,4,0,0,0,0,0.0,0.0,0.0
no_memory,23,agent1,1,6,0,0,0,0,0.0,0.0,0.0
no_memory,23,agent1,2,5,0,0,0,0,0.0,0.0,0.0
no_memory,26,agent1,0,6,0,0,0,0,0.0,1.0,1.0
no_memory,26,agent1,1,6,0,0,0,0,0.0,1.0,1.0
no_memory,26,agent1,2,6,0,0,0,0,0.0,1.0,1.0
no_memory,27,agent1,0,5,0,0,0,0,0.0,1.0,1.0
no_memory,27,agent1,1,5,0,0,0,0,0.0,1.0,1.0
no_memory,27,agent1,2,4,0,0,0,0,0.0,1.0,1.0
no_memory,29,agent1,0,5,0,0,0,0,0.0,0.0,0.0
no_memory,29,agent1,1,6,0,0,0,0,0.0,0.0,0.0
no_memory,3,agent1,0,6,0,0,0,0,0.0,1.0,1.0
no_memory,3,agent1,1,5,0,0,0,0,0.0,0.0,0.0
no_memory,30,agent1,2,4,0,0,0,0,0.0,1.0,1.0
no_memory,31,agent1,1,5,0,0,0,0,0.0,0.0,0.0
no_memory,31,agent1,2,3,0,0,0,0,0.0,1.0,1.0
no_memory,32,agent1,0,4,0,0,0,0,0.0,1.0,1.0
no_memory,32,agent1,1,5,0,0,0,0,0.0,0.0,0.0
no_memory,33,agent1,1,5,0,0,0,0,0.0,0.0,0.0
no_memory,33,agent1,2,6,0,0,0,0,0.0,0.0,0.0
no_memory,34,agent1,0,5,0,0,0,0,0.0,0.0,0.0
no_memory,34,agent1,1,6,0,0,0,0,0.0,0.0,0.0
no_memory,34,agent1,2,5,0,0,0,0,0.0,0.0,0.0
no_memory,36,agent1,0,5,0,0,0,0,0.0,1.0,1.0
no_memory,36,agent1,1,5,0,0,0,0,0.0,1.0,1.0
no_memory,36,agent1,2,3,0,0,0,0,0.0,1.0,1.0
no_memory,37,agent1,0,6,0,0,0,0,0.0,1.0,1.0
no_memory,37,agent1,1,4,0,0,0,0,0.0,1.0,1.0
no_memory,37,agent1,2,5,0,0,0,0,0.0,1.0,1.0
no_memory,41,agent1,0,6,0,0,0,0,0.0,1.0,1.0
no_memory,41,agent1,1,5,0,0,0,0,0.0,0.0,0.0
no_memory,41,agent1,2,5,0,0,0,0,0.0,1.0,1.0
no_memory,42,agent1,0,5,0,0,0,0,0.0,1.0,1.0
no_memory,42,agent1,1,6,0,0,0,0,0.0,1.0,1.0
no_memory,42,agent1,2,5,0,0,0,0,0.0,1.0,1.0
no_memory,48,agent1,0,5,0,0,0,0,0.0,1.0,1.0
no_memory,48,agent1,2,5,0,0,0,0,0.0,1.0,1.0
no_memory,51,agent1,0,6,0,0,0,0,0.0,0.0,0.0
no_memory,51,agent1,1,6,0,0,0,0,0.0,0.0,0.0
no_memory,51,agent1,2,4,0,0,0,0,0.0,0.0,0.0
no_memory,57,agent1,0,6,0,0,0,0,0.0,0.0,0.0
no_memory,57,agent1,1,6,0,0,0,0,0.0,0.0,0.0
no_memory,57,agent1,2,6,0,0,0,0,0.0,0.0,0.0
no_memory,60,agent1,0,6,0,0,0,0,0.0,1.0,1.0
no_memory,60,agent1,1,6,0,0,0,0,0.0,1.0,1.0
no_memory,60,agent1,2,6,0,0,0,0,0.0,1.0,1.0
no_memory,61,agent1,0,5,0,0,0,0,0.0,0.0,0.0
no_memory,61,agent1,1,6,0,0,0,0,0.0,0.0,0.0
no_memory,61,agent1,2,5,0,0,0,0,0.0,0.0,0.0
no_memory,63,agent1,0,6,0,0,0,0,0.0,0.0,0.0
no_memory,63,agent1,1,6,0,0,0,0,0.0,0.0,0.0
no_memory,63,agent1,2,6,0,0,0,0,0.0,0.0,0.0
no_memory,64,agent1,0,6,0,0,0,0,0.0,0.0,0.0
no_memory,64,agent1,2,6,0,0,0,0,0.0,0.0,0.0
no_memory,65,agent1,0,2,0,0,0,0,0.0,1.0,1.0
no_memory,65,agent1,1,1,0,0,0,0,0.0,1.0,1.0
no_memory,65,agent1,2,2,0,0,0,0,0.0,1.0,1.0
no_memory,68,agent1,0,5,0,0,0,0,0.0,0.0,0.0
no_memory,68,agent1,1,6,0,0,0,0,0.0,0.0,0.0
no_memory,68,agent1,2,6,0,0,0,0,0.0,0.0,0.0
no_memory,69,agent1,0,6,0,0,0,0,0.0,1.0,1.0
no_memory,69,agent1,1,6,0,0,0,0,0.0,1.0,1.0
no_memory,69,agent1,2,6,0,0,0,0,0.0,0.0,0.0
no_memory,70,agent1,0,5,0,0,0,0,0.0,0.0,0.0
no_memory,70,agent1,1,6,0,0,0,0,0.0,0.0,0.0
no_memory,72,agent1,0,4,0,0,0,0,0.0,1.0,1.0
no_memory,72,agent1,1,2,0,0,0,0,0.0,1.0,1.0
no_memory,72,agent1,2,2,0,0,0,0,0.0,1.0,1.0
no_memory,73,agent1,1,3,0,0,0,0,0.0,0.0,0.0
no_memory,73,agent1,2,3,0,0,0,0,0.0,0.0,0.0
no_memory,75,agent1,0,4,0,0,0,0,0.0,0.0,0.0
no_memory,75,agent1,1,3,0,0,0,0,0.0,0.0,0.0
no_memory,75,agent1,2,1,0,0,0,0,0.0,0.0,0.0
no_memory,76,agent1,1,1,0,0,0,0,0.0,1.0,1.0
