scenario,task_id,seed,episode_id,team_success,team_reward,n_iterations,planning_scores,communication_scores,task_evaluation,code_quality,token_usage,total_milestones,raw_eval_fields,final_output_len,iter_summary_lengths,iter_task_results_counts,runtime
bargaining,82,0,9852984e0834302f8f1589f6,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,21712,0,planning_scores(-1);communication_scores(-1),0,"[1947, 1947, 1947, 2045, 2173]","[0, 0, 0, 0, 0]",503.73
bargaining,82,1,696e5aa91db8794ada1d5e7e,True,1.0,2,[],"[-1, -1]",None,None,8723,0,planning_scores(-1);communication_scores(-1),0,"[2045, 2045]","[0, 0]",268.9
bargaining,15,0,32405225b354bb1a1dfc0a35,True,1.0,1,[],[-1],None,None,4370,0,planning_scores(-1);communication_scores(-1),0,[1855],[0],106.58
bargaining,15,1,821bc8979719b2e3e18b273b,True,1.0,1,[],[-1],None,None,4280,0,planning_scores(-1);communication_scores(-1),0,[1488],[0],105.49
bargaining,4,0,c16b428b937469b8ef7deedb,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,21390,0,planning_scores(-1);communication_scores(-1),0,"[2062, 2062, 1946, 1782, 1946]","[0, 0, 0, 0, 0]",630.37
bargaining,4,1,986350fd3a6aa5fb34a1cff7,True,1.0,5,[],"[-1, -1, -1, -1, -1]",None,None,21336,0,planning_scores(-1);communication_scores(-1),0,"[1946, 1946, 1946, 1946, 1832]","[0, 0, 0, 0, 0]",629.14
bargaining,95,0,90ae11352e62631d2f92407d,True,1.0,1,[],[-1],None,None,4482,0,planning_scores(-1);communication_scores(-1),0,[1943],[0],106.97
bargaining,95,1,9324422d2e3eaa0d99040b41,True,1.0,3,[],"[-1, -1, -1]",None,None,13404,0,planning_scores(-1);communication_scores(-1),0,"[1943, 1973, 1757]","[0, 0, 0]",304.44
bargaining,36,0,3c46e934e3f6f81765e0233b,True,1.0,1,[],[-1],None,None,4462,0,planning_scores(-1);communication_scores(-1),0,[1361],[0],169.11
bargaining,36,1,c2c9c6a8029259e1338ab5c3,True,1.0,1,[],[-1],None,None,4606,0,planning_scores(-1);communication_scores(-1),0,[2020],[0],170.06
bargaining,32,0,cf5475410529b7f603d8e6af,True,1.0,1,[],[-1],None,None,4390,0,planning_scores(-1);communication_scores(-1),0,[1986],[0],169.93
bargaining,32,1,5a86f1e08585f77dff6125e3,True,1.0,1,[],[-1],None,None,4206,0,planning_scores(-1);communication_scores(-1),0,[1523],[0],108.7
bargaining,29,0,8a0b8bfe9a1a41c74ced4c09,True,1.0,1,[],[-1],None,None,4423,0,planning_scores(-1);communication_scores(-1),0,[1975],[0],107.31
bargaining,29,1,c916e27fb4ee36dfafdc9de5,True,1.0,1,[],[-1],None,None,4439,0,planning_scores(-1);communication_scores(-1),0,[2094],[0],107.94
bargaining,18,0,baa84e8357c2f5a31e4601d3,True,1.0,1,[],[-1],None,None,4155,0,planning_scores(-1);communication_scores(-1),0,[1581],[0],106.0
bargaining,18,1,360d1cca3e0c3de524379516,True,1.0,1,[],[-1],None,None,4169,0,planning_scores(-1);communication_scores(-1),0,[1682],[0],106.67
bargaining,14,0,d4fdd0da8e97a1fd717e48f3,True,1.0,1,[],[-1],None,None,4422,0,planning_scores(-1);communication_scores(-1),0,[1716],[0],106.31
