scenario,task_id,seed,metric_name,metric_error,evaluator_status,engine_status
bargaining,1,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,1,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,2,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,2,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,3,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,3,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,4,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,4,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,5,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,5,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,6,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,6,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,7,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,7,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,8,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,8,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,9,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,9,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,10,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,10,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,11,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,11,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,12,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,12,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,13,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,13,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,14,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,14,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,15,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,15,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,16,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,16,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,17,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,17,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,18,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,18,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,19,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,19,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,20,0,avg_negotiation_quality,task_evaluation_not_available,failure,ok
bargaining,20,1,avg_negotiation_quality,task_evaluation_not_available,failure,ok
coding,1,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,1,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,2,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,2,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,3,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,3,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,4,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,4,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,5,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,5,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,6,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,6,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,7,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,7,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,8,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,8,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,9,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,9,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,10,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,10,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,11,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,11,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,12,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,12,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,13,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,13,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,14,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,14,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,15,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,15,1,avg_code_quality,task_evaluation_not_available,failure,ok
coding,16,0,avg_code_quality,task_evaluation_not_available,failure,ok
coding,16,1,avg_code_quality,task_evaluation_not_available,failure,ok
