scenario,task_id,n_seeds,n_valid,mean_score,team_success_rate
bargaining,1,2,2,0.75,1.0
bargaining,10,2,2,0.6458333333333333,1.0
bargaining,11,2,2,0.6041666666666667,1.0
bargaining,12,2,2,0.7291666666666667,1.0
bargaining,13,2,2,0.6458333333333334,1.0
bargaining,14,2,2,0.6041666666666667,1.0
bargaining,15,2,2,0.7916666666666666,1.0
bargaining,16,2,2,0.625,1.0
bargaining,17,2,2,0.6666666666666666,1.0
bargaining,18,2,2,0.7708333333333333,1.0
bargaining,19,2,2,0.7916666666666667,1.0
bargaining,2,2,2,0.75,1.0
bargaining,20,2,2,0.875,1.0
bargaining,3,2,2,0.75,1.0
bargaining,4,2,2,0.6666666666666667,1.0
bargaining,5,2,2,0.8125,1.0
bargaining,6,2,2,0.7083333333333333,1.0
bargaining,7,2,2,0.7916666666666666,1.0
bargaining,8,2,2,0.75,1.0
bargaining,9,2,2,0.7083333333333333,1.0
coding,1,2,2,0.40625,1.0
coding,10,2,2,0.3125,1.0
coding,11,2,2,0.3125,1.0
coding,12,2,2,0.3125,1.0
coding,13,2,2,0.3125,1.0
coding,14,2,2,0.3125,1.0
coding,15,2,2,0.3125,1.0
coding,16,2,2,0.3125,1.0
coding,17,2,2,0.3125,1.0
coding,18,2,2,0.3125,1.0
coding,19,2,2,0.3125,1.0
coding,2,2,2,0.3125,1.0
coding,20,2,2,0.3125,1.0
coding,3,2,2,0.3125,1.0
coding,4,2,2,0.3125,1.0
coding,5,2,2,0.3125,1.0
coding,6,2,2,0.3125,1.0
coding,7,2,2,0.3125,1.0
coding,8,2,2,0.3125,1.0
coding,9,2,2,0.3125,1.0
database,1,2,2,0.0,1.0
database,10,2,2,0.0,1.0
database,11,2,2,0.0,1.0
database,12,2,2,0.0,1.0
database,13,2,2,0.0,1.0
database,14,2,2,0.0,1.0
database,15,2,2,0.0,1.0
database,16,2,2,0.0,1.0
database,17,2,2,0.0,1.0
database,18,2,2,0.0,1.0
database,19,2,2,0.0,1.0
database,2,2,2,0.0,1.0
database,20,2,2,0.0,1.0
database,3,2,2,0.0,1.0
database,4,2,2,0.0,1.0
database,5,2,2,0.0,1.0
database,6,2,2,0.0,1.0
database,7,2,2,0.0,1.0
database,8,2,2,0.0,1.0
database,9,2,2,0.0,1.0
minecraft,1,2,2,0.0,1.0
minecraft,10,2,2,0.0,1.0
minecraft,11,2,2,0.0,1.0
minecraft,12,2,2,0.0,1.0
minecraft,13,2,2,0.0,1.0
minecraft,14,2,2,0.0,1.0
minecraft,15,2,2,0.0,1.0
minecraft,16,2,2,0.0,1.0
minecraft,17,2,2,0.0,1.0
minecraft,18,2,2,0.0,1.0
minecraft,19,2,2,0.0,1.0
minecraft,2,2,2,0.0,1.0
minecraft,20,2,2,0.0,1.0
minecraft,3,2,2,0.0,1.0
minecraft,4,2,2,0.0,1.0
minecraft,5,2,2,0.0,1.0
minecraft,6,2,2,0.0,1.0
minecraft,7,2,2,0.0,1.0
minecraft,8,2,2,0.0,1.0
minecraft,9,2,2,0.0,1.0
research,1,2,2,0.8333333333333333,1.0
research,10,2,2,0.8333333333333333,1.0
research,11,2,2,0.8333333333333333,1.0
research,12,2,2,0.8333333333333333,1.0
research,13,2,2,0.8333333333333333,1.0
research,14,2,2,0.8333333333333333,1.0
research,15,2,2,0.8333333333333333,1.0
research,16,2,2,0.875,1.0
research,17,2,2,0.7916666666666667,1.0
research,18,2,0,,0.0
research,19,2,2,0.9166666666666667,1.0
research,2,2,2,0.8333333333333333,1.0
research,20,2,2,0.8333333333333333,1.0
research,3,2,2,0.8333333333333333,1.0
research,4,2,0,,0.0
research,5,2,2,0.9166666666666667,1.0
research,6,2,2,0.9166666666666667,1.0
research,7,2,2,0.9166666666666667,1.0
research,8,2,2,0.8333333333333333,1.0
research,9,2,2,0.8333333333333333,1.0
