contamination_type,ratio,method,task_id,seed,n_contaminated_total,n_contaminated_injected,contamination_rate,team_reward,total_injected,propagation_depth
false_procedural,0.1,full_memory,10,0,0,0,0.0,2.3333,12,0.0
false_procedural,0.1,retrieval,10,0,0,0,0.0,1.3333,9,0.0
false_procedural,0.1,smtr_uniform,10,0,0,0,0.0,2.6667,9,0.0
false_procedural,0.1,smtr_receiver,10,0,0,0,0.0,2.6667,8,0.0
false_procedural,0.1,full_memory,10,1,0,0,0.0,1.0,6,0.0
false_procedural,0.1,retrieval,10,1,0,0,0.0,1.0,6,0.0
false_procedural,0.1,smtr_uniform,10,1,0,0,0.0,1.0,3,0.0
false_procedural,0.1,smtr_receiver,10,1,0,0,0.0,1.0,3,0.0
false_procedural,0.1,full_memory,10,2,0,0,0.0,0.6667,6,0.0
false_procedural,0.1,retrieval,10,2,0,0,0.0,0.6667,6,0.0
false_procedural,0.1,smtr_uniform,10,2,0,0,0.0,1.0,3,0.0
false_procedural,0.1,smtr_receiver,10,2,0,0,0.0,1.0,3,0.0
false_procedural,0.1,full_memory,100,1,0,0,0.0,-0.3333,9,0.0
false_procedural,0.1,retrieval,100,1,0,0,0.0,-0.3333,9,0.0
false_procedural,0.1,smtr_uniform,100,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,100,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,100,2,0,0,0.0,0.0,9,0.0
false_procedural,0.1,retrieval,100,2,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,100,2,0,0,0.0,0.3333,3,0.0
false_procedural,0.1,smtr_receiver,100,2,0,0,0.0,0.3333,1,0.0
false_procedural,0.1,full_memory,11,1,0,0,0.0,0.0,9,0.0
false_procedural,0.1,retrieval,11,1,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,11,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,11,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,11,2,0,0,0.0,1.0,15,0.0
false_procedural,0.1,retrieval,11,2,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,11,2,0,0,0.0,1.0,3,0.0
false_procedural,0.1,smtr_receiver,11,2,0,0,0.0,1.0,3,0.0
false_procedural,0.1,full_memory,13,2,0,0,0.0,-0.3333,3,0.0
false_procedural,0.1,retrieval,13,2,0,0,0.0,-0.3333,3,0.0
