method,task_id,seed,team_reward,receiver_1_reward,receiver_2_reward,receiver_3_reward,receiver_1_injected,receiver_2_injected,receiver_3_injected,receiver_1_positive,receiver_2_positive,receiver_3_positive,receiver_1_negative,receiver_2_negative,receiver_3_negative,receiver_disagreement_std
no_memory,10,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,10,0,2.0,3.0,3.0,0.0,4,4,4,3,3,0,0,0,0,0.0
retrieval,10,0,1.6666666666666667,2.0,3.0,0.0,3,3,3,2,3,0,0,0,0,0.0
smtr_uniform,10,0,1.6666666666666667,3.0,2.0,0.0,3,3,3,3,2,0,0,0,0,0.0
smtr_receiver,10,0,2.0,3.0,3.0,0.0,3,3,0,3,3,0,0,0,0,1.4142135623730951
no_memory,10,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,10,1,1.0,1.0,0.0,2.0,2,2,2,1,0,2,0,0,0,0.0
retrieval,10,1,1.0,1.0,0.0,2.0,2,2,2,1,0,2,0,0,0,0.0
smtr_uniform,10,1,1.0,1.0,0.0,2.0,2,2,2,1,0,2,0,0,0,0.0
smtr_receiver,10,1,1.0,1.0,0.0,2.0,1,0,2,1,0,2,0,0,0,0.816496580927726
no_memory,10,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,10,2,1.3333333333333333,1.0,1.0,2.0,2,2,2,1,1,2,0,0,0,0.0
retrieval,10,2,1.3333333333333333,1.0,1.0,2.0,2,2,2,1,1,2,0,0,0,0.0
smtr_uniform,10,2,1.3333333333333333,1.0,1.0,2.0,2,2,2,1,1,2,0,0,0,0.0
smtr_receiver,10,2,1.3333333333333333,1.0,1.0,2.0,1,1,2,1,1,2,0,0,0,0.4714045207910317
no_memory,100,1,0.1111111111111111,0.0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,100,1,0.11111111111111109,0.0,-0.6666666666666667,1.0,3,3,3,0,0,1,0,1,0,0.0
retrieval,100,1,0.11111111111111109,0.0,-0.6666666666666667,1.0,3,3,3,0,0,1,0,1,0,0.0
smtr_uniform,100,1,0.1111111111111111,0.0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,100,1,0.4444444444444444,0.0,0.3333333333333333,1.0,0,0,1,0,0,1,0,0,0,0.4714045207910317
no_memory,100,2,0.1111111111111111,0.0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0.0
