method,metric,before,after,absolute_difference,relative_difference_pct
full_memory,team_reward,0.3613562091503268,0.3613562091503268,0.0,0.0
full_memory,team_reward_std,1.006123875176416,1.006123875176416,0.0,0.0
full_memory,r1_reward,0.3235294117647059,0.3235294117647059,0.0,0.0
full_memory,r2_reward,0.26360294117647054,0.26360294117647054,0.0,0.0
full_memory,r3_reward,0.496936274509804,0.496936274509804,0.0,0.0
full_memory,disagreement,0.0,0.0,0.0,0.0
full_memory,positive_injected,191,191,0,0.0
full_memory,negative_injected,188,188,0,0.0
full_memory,n_episodes,136,136,0,0.0
no_memory,team_reward,0.35400326797385623,0.35400326797385623,0.0,0.0
no_memory,team_reward_std,0.44913562346822083,0.44913562346822083,0.0,0.0
no_memory,r1_reward,0.3235294117647059,0.3235294117647059,0.0,0.0
no_memory,r2_reward,0.3738970588235294,0.3738970588235294,0.0,0.0
no_memory,r3_reward,0.3645833333333333,0.3645833333333333,0.0,0.0
no_memory,disagreement,0.0,0.0,0.0,0.0
no_memory,positive_injected,0,0,0,0.0
no_memory,negative_injected,0,0,0,0.0
no_memory,n_episodes,136,136,0,0.0
retrieval,team_reward,0.3687091503267974,0.3687091503267974,0.0,0.0
retrieval,team_reward_std,0.6250925163274306,0.6250925163274306,0.0,0.0
retrieval,r1_reward,0.3602941176470588,0.3602941176470588,0.0,0.0
retrieval,r2_reward,0.3224264705882353,0.3224264705882353,0.0,0.0
retrieval,r3_reward,0.423406862745098,0.423406862745098,0.0,0.0
retrieval,disagreement,0.0,0.0,0.0,0.0
retrieval,positive_injected,114,114,0,0.0
retrieval,negative_injected,108,108,0,0.0
retrieval,n_episodes,136,136,0,0.0
smtr_receiver,team_reward,0.8098856209150327,0.8098856209150327,0.0,0.0
smtr_receiver,team_reward_std,0.607298598898939,0.607298598898939,0.0,0.0
smtr_receiver,r1_reward,0.5955882352941176,0.5955882352941176,0.0,0.0
smtr_receiver,r2_reward,0.8738970588235295,0.8738970588235295,0.0,0.0
smtr_receiver,r3_reward,0.960171568627451,0.960171568627451,0.0,0.0
smtr_receiver,disagreement,0.28466023913136984,0.28466023913136984,0.0,0.0
smtr_receiver,positive_injected,186,186,0,0.0
smtr_receiver,negative_injected,0,0,0,0.0
smtr_receiver,n_episodes,136,136,0,0.0
smtr_uniform,team_reward,0.7755718954248365,0.7755718954248365,0.0,0.0
smtr_uniform,team_reward_std,0.591687102431673,0.591687102431673,0.0,0.0
smtr_uniform,r1_reward,0.5955882352941176,0.5955882352941176,0.0,0.0
smtr_uniform,r2_reward,0.8297794117647058,0.8297794117647058,0.0,0.0
smtr_uniform,r3_reward,0.9013480392156863,0.9013480392156863,0.0,0.0
smtr_uniform,disagreement,0.0,0.0,0.0,0.0
smtr_uniform,positive_injected,172,172,0,0.0
smtr_uniform,negative_injected,0,0,0,0.0
smtr_uniform,n_episodes,136,136,0,0.0
