method,task_id,receiver_id,seed,n_candidates,n_injected,n_positive,n_harmful,n_neutral,total_tau,withhold_reward,method_reward
no_memory,10,agent1,0,4,0,0,0,0,0.0,0.0,0.0
no_memory,10,agent1,1,2,0,0,0,0,0.0,0.0,0.0
no_memory,10,agent1,2,2,0,0,0,0,0.0,0.0,0.0
no_memory,100,agent1,1,3,0,0,0,0,0.0,0.0,0.0
no_memory,100,agent1,2,3,0,0,0,0,0.0,0.0,0.0
no_memory,11,agent1,1,3,0,0,0,0,0.0,0.0,0.0
no_memory,11,agent1,2,5,0,0,0,0,0.0,0.0,0.0
no_memory,13,agent1,2,1,0,0,0,0,0.0,1.0,1.0
no_memory,16,agent1,0,5,0,0,0,0,0.0,1.0,1.0
no_memory,16,agent1,1,6,0,0,0,0,0.0,1.0,1.0
no_memory,17,agent1,0,4,0,0,0,0,0.0,0.0,0.0
no_memory,17,agent1,1,4,0,0,0,0,0.0,0.0,0.0
no_memory,19,agent1,0,5,0,0,0,0,0.0,1.0,1.0
no_memory,19,agent1,1,4,0,0,0,0,0.0,0.0,0.0
no_memory,19,agent1,2,2,0,0,0,0,0.0,0.0,0.0
no_memory,2,agent1,2,6,0,0,0,0,0.0,0.0,0.0
no_memory,21,agent1,0,1,0,0,0,0,0.0,0.0,0.0
no_memory,21,agent1,2,5,0,0,0,0,0.0,0.0,0.0
no_memory,22,agent1,0,4,0,0,0,0,0.0,1.0,1.0
no_memory,22,agent1,1,5,0,0,0,0,0.0,1.0,1.0
full_memory,10,agent1,0,4,4,3,0,1,3.0,0.0,0.75
full_memory,10,agent1,1,2,2,1,0,1,1.0,0.0,0.5
full_memory,10,agent1,2,2,2,1,0,1,1.0,0.0,0.5
full_memory,100,agent1,1,3,3,0,0,3,0.0,0.0,0.0
full_memory,100,agent1,2,3,3,0,0,3,0.0,0.0,0.0
full_memory,11,agent1,1,3,3,0,0,3,0.0,0.0,0.0
full_memory,11,agent1,2,5,5,1,0,4,1.0,0.0,0.2
full_memory,13,agent1,2,1,1,0,0,1,0.0,1.0,1.0
full_memory,16,agent1,0,5,5,0,0,5,0.0,1.0,1.0
full_memory,16,agent1,1,6,6,0,0,6,0.0,1.0,1.0
full_memory,17,agent1,0,4,4,0,0,4,0.0,0.0,0.0
full_memory,17,agent1,1,4,4,1,0,3,1.0,0.0,0.25
full_memory,19,agent1,0,5,5,0,4,1,-4.0,1.0,0.19999999999999996
full_memory,19,agent1,1,4,4,1,0,3,1.0,0.0,0.25
full_memory,19,agent1,2,2,2,0,0,2,0.0,0.0,0.0
full_memory,2,agent1,2,6,6,1,0,5,1.0,0.0,0.16666666666666666
full_memory,21,agent1,0,1,1,0,0,1,0.0,0.0,0.0
full_memory,21,agent1,2,5,5,1,0,4,1.0,0.0,0.2
full_memory,22,agent1,0,4,4,0,0,4,0.0,1.0,1.0
full_memory,22,agent1,1,5,5,0,0,5,0.0,1.0,1.0
smtr_tci,10,agent1,0,4,3,2,0,1,2.0,0.0,0.5
smtr_tci,10,agent1,1,2,2,1,0,1,1.0,0.0,0.5
smtr_tci,10,agent1,2,2,2,1,0,1,1.0,0.0,0.5
smtr_tci,100,agent1,1,3,3,0,0,3,0.0,0.0,0.0
smtr_tci,100,agent1,2,3,3,0,0,3,0.0,0.0,0.0
smtr_tci,11,agent1,1,3,3,0,0,3,0.0,0.0,0.0
smtr_tci,11,agent1,2,5,3,0,0,3,0.0,0.0,0.0
smtr_tci,13,agent1,2,1,1,0,0,1,0.0,1.0,1.0
smtr_tci,16,agent1,0,5,3,0,0,3,0.0,1.0,1.0
smtr_tci,16,agent1,1,6,3,0,0,3,0.0,1.0,1.0
smtr_tci,17,agent1,0,4,3,0,0,3,0.0,0.0,0.0
smtr_tci,17,agent1,1,4,3,1,0,2,1.0,0.0,0.25
smtr_tci,19,agent1,0,5,3,0,3,0,-3.0,1.0,0.4
smtr_tci,19,agent1,1,4,3,0,0,3,0.0,0.0,0.0
smtr_tci,19,agent1,2,2,2,0,0,2,0.0,0.0,0.0
smtr_tci,2,agent1,2,6,3,1,0,2,1.0,0.0,0.16666666666666666
smtr_tci,21,agent1,0,1,1,0,0,1,0.0,0.0,0.0
smtr_tci,21,agent1,2,5,3,1,0,2,1.0,0.0,0.2
smtr_tci,22,agent1,0,4,3,0,0,3,0.0,1.0,1.0
smtr_tci,22,agent1,1,5,3,0,0,3,0.0,1.0,1.0
